id_lote;fecha_produccion;producto_id;presentacion_id;turno_id;timestamp_control_calidad;viscosidad_ku;ph;unidades_planificadas;unidades_producidas;costo_materia_prima_usd
LOT00255;17/6/2025;PRD016;PRE05;T2;17/6/2025 19:26;92.5;7.19;10;9;10928.95
LOT00256;10/5/2025;PRD009;PRE02;T2;10/5/2025 18:58;100.0;8.32;200;193;1481.94
LOT00257;9/10/2024;PRD022;pre02;T1;9/10/2024 09:11;124.2;7.26;250;239;6115.97
LOT00258;31/7/2024;PRD016;PRE04;T2;31/7/2024 18:05;96.0;6.64;80;77;9020.73
lot00259;29/5/2025;PRD014;PRE03;T3;30/5/2025 02:12;83.1;7.27;100;99;8493.06
LOT00260;24/1/2025;PRD006;PRE03;T3;25/1/2025 00:00;96.9;8.47;80;78;2450.58
LOT00261;12/7/2024;prd012;PRE05;T2;12/7/2024 17:41;98.5;7.55;10;9;11361.15
LOT00262;13/5/2025;PRD002;PRE01;T1;13/5/2025 08:32;84.6;7.37;400;388;1230.63
LOT00263;3/4/2025;PRD012;PRE05;T2;3/4/2025 20:48;77.4;7.35;30;24;35712.09
LOT00264;15/8/2024;PRD021;PRE03;T3;16/8/2024 02:55;112.4;7.23;40;38;3827.07
LOT00265;6/2/2025;PRD001;PRE03;T2;6/2/2025 17:38;88.2;7.28;120;116;5984.87
LOT00266;10/5/2025;PRD008;PRE02;T3;11/5/2025 02:39;106.2;8.62; 100 ;95;724.19
LOT00267;31/3/2025;PRD020;PRE02;T1;31/3/2025 08:51;57.1;6.19;250;246;3756.9
LOT00268;17/7/2024;PRD010;PRE04;T2;17/7/2024 16:30;91.1;9.16;40;39;1498.11
LOT00269;18/7/2024;PRD001;PRE01;T2;18/7/2024 19:26;87.8;8.47;500;484;1815.85
LOT00270;30/11/2024;PRD024;PRE05;T2;30/11/2024 18:32;125.9;7.33;10;9;11841.99
LOT00271;1/3/2025;PRD013;PRE05;T3;2/3/2025 02:40;81.2;7.25;30;29;38068.78
LOT00272;12/4/2025;PRD005;PRE03;T2;12/4/2025 19:36;80.3;7.57;60;57;2859.88
LOT00273;25/2/2025;PRD016;PRE03;T2;25/2/2025 20:33;76.7;6.73;80;79;7017.92
LOT00274;2/8/2024;PRD024;PRE02;T3;3/8/2024 02:05;120.5;8.15;150;147;3281.3
LOT00275;6/3/2025;PRD003;PRE01;T1;6/3/2025 08:17;88.6;8.25;500;488;1729.44
LOT00276;24/5/2025;PRD003;PRE01;T1;24/5/2025 10:49;91.2;8.34;400;395;1212.51
LOT00277;14/1/2025;PRD027;PRE04;T1;14/1/2025 09:36;89.7;7.36;60;58;9104.65
 LOT00278 ;8/4/2025;PRD022;PRE02;T1;8/4/2025 12:34;119.7;7.8;300; 291 ;6603.04
LOT00279;18/10/2024;PRD012;PRE04;T3;19/10/2024 04:52;84.0;7.18;100;95;10520.42
LOT00280;12/7/2024;PRD029;PRE04;T1;12/7/2024 12:55;118.7;5.7;40;25;5587.33
LOT00281;9/8/2024;PRD009;PRE04;T3;10/08/2024 03:58;86.2;9.66;40;27;1536.13
lot00282;31/8/2024;PRD002;PRE05;T2;31/8/2024 15:54;80.8;7.79;20;19;13018.82
LOT00283;26/11/2024;PRD024;PRE05;T1;26/11/2024 09:18;110.1;7.71;10;9;11430.14
LOT00284;19/4/2025;PRD025;PRE03;T2;19/04/2025 20:45;77.4;6.61;100;96;12204.31
LOT00285;27/12/2024;PRD012;PRE03; T2 ;27/12/2024 17:37;76.1;7.73;60;59;4860.85
LOT00286;26/8/2024;PRD008;PRE05;T1;26/8/2024 12:00;90.5;8.31;30;28;12111.42
LOT00287;27/3/2025;PRD005;PRE03;T3;28/3/2025 01:30;63.6;8.63;80;41;4330.0
LOT00288;29/5/2025;prd028; PRE05 ;T1;29/5/2025 10:17;85.3;7.56;20;19;30582.64
LOT00289;4/12/2024;PRD018;PRE05;T1;4/12/2024 12:15;77.3;7.58;20;13;15913.65
LOT00290;24/10/2024;PRD021;PRE02;T3;25/10/2024 02:44;128.0;7.46;300;262;7057.82
LOT00291;31/5/2025;PRD010;PRE05;T3;1/6/2025 04:56;103.7;8.3;15;14;6246.16
LOT00292;30/8/2024;PRD025;PRE03;T2;30/8/2024 18:16;91.8;7.65;100;99;10807.53
LOT00293;10/5/2025;PRD024;PRE02;T1;10/5/2025 12:44;117.9;7.35;100;96;2353.34
LOT00294;7/10/2024;PRD023;PRE03;T2;7/10/2024 16:07;122.9;7.02;80;79;6800.48
LOT00295;20/2/2025;PRD006;PRE05;T3;21/2/2025 03:28;105.5;8.91;25;24;9788.3
LOT00296;22/7/2024;PRD021;PRE04;T1;22/7/2024 12:24;111.9;8.1;120;116;15163.66
LOT00297;10/5/2025;PRD029;PRE04;T1;10/5/2025 11:43;83.9;7.47;40;39;5535.81
LOT00298;29/4/2025;PRD005;PRE02;T1;29/4/2025 11:22;83.8;8.04;150;147;1835.08
LOT00299;23/7/2024;PRD017;PRE03;T2;23/7/2024 18:25;54.1;6.22;40;38;2424.0
lot00300;20/2/2025;PRD004;PRE04;T3;21/2/2025 04:44;92.1;7.91;100;96;7124.41
LOT00301;15/10/2024;PRD020;PRE01;T3;16/10/2024 00:53;51.4;6.52;300;297;1236.98
LOT00302;4/6/2025;PRD002;PRE01;T3;5/6/2025 03:41;94.0;7.14;400;386;1435.74
LOT00303;16/12/2024;PRD003;PRE02;T3;17/12/2024 04:36;108.0;5.99;300;238;3956.03
LOT00304;16/5/2025;PRD010;PRE02;T3;17/5/2025 01:17;100.4;8.95;250;247;2035.02
LOT00305;28/1/2025;PRD004;PRE01;T3;29/1/2025 02:22;99.0;6.53;300;251;948.51
LOT00306;12/5/2025;PRD025;PRE01;T2;12/5/2025 16:51;79.9;7.01;500;497;3774.29
LOT00307;29/7/2024;PRD029;PRE05;T2;29/7/2024 20:49;102.3;7.6;20;14;32328.18
LOT00308;16/1/2025;PRD001;PRE02;T1;16/1/2025 08:43;90.6;7.47;100;96;1213.67
LOT00309;20/7/2024;PRD010;PRE02; T1 ;20/7/2024 08:40;100.1;9.2;300;287;2195.48
LOT00310;14/10/2024;PRD011;PRE01;T3;15/10/2024 03:29;112.7;7.51;200;167;387.17
LOT00311;24/5/2025;PRD017;PRE04;T3;25/5/2025 02:21;54.8;6.41;80;79;6949.99
LOT00312;11/12/2024;PRD020;PRE03;T3;12/12/2024 01:10;64.4;6.26;80;78;4877.45
LOT00313;30/9/2024;PRD022;PRE01;T1;30/9/2024 11:16;110.0;7.3;600;572;3709.18
LOT00314;26/5/2025;PRD026;PRE05;T2;26/5/2025 20:09;98.4;6.72;30;28;43771.04
LOT00315;27/8/2024;PRD028;PRE05;T1;27/8/2024 12:14;95.4;6.92;20;19;27764.36
LOT00316;29/4/2025;PRD011;PRE03;T3;30/4/2025 02:12;101.0;9.46;100;95;2824.94
LOT00317;9/8/2024;PRD019;PRE04;T1;9/8/2024 09:22;58.1;6.15;100;95;9165.88
LOT00318;16/8/2024;PRD025;PRE05;T3;17/8/2024 00:36;92.7;7.49;25;24;36674.87
LOT00319;24/12/2024;PRD011;PRE02;T3;25/12/2024 04:08;112.6;9.62;200;142;1633.29
LOT00320;29/4/2025;PRD012;PRE03;T1;29/4/2025 11:01;85.2;7.15;60;58;5193.77
LOT00321;28/5/2025;PRD027;PRE04;T1;28/5/2025 08:54;89.7;7.96;60;57;9256.04
LOT00322;9/4/2025;PRD020;PRE05;T2;9/4/2025 19:33;55.6;6.64;10;9;8982.63
LOT00323;27/8/2024;PRD018;PRE03; T3 ;28/8/2024 00:44;68.3;6.79;80;77;4614.86
LOT00324;23/12/2024;prd024;PRE03;T3;24/12/2024 03:39;115.4;7.7;80;77;7863.24
 LOT00325 ;23/4/2025;PRD020;PRE03;T1;23/4/2025 12:21;66.4;6.44;120;114;7536.96
LOT00326;27/8/2024;PRD009;PRE01;T2;27/8/2024 17:10;97.4;8.26;300;292;604.13
LOT00327;30/10/2024;PRD005;PRE03;T2;30/10/2024 17:33;88.7;8.26;40;39;2207.3
LOT00328;16/1/2025;PRD010;PRE02;T2;16/1/2025 18:18;100.6;8.65;200;199; 1496.52 
LOT00329;30/5/2025;PRD002;PRE01;T2;30/5/2025 18:48;84.0;7.15;600;581;2103.99
LOT00330;5/7/2024;PRD007;PRE03;T3;5/7/2024 23:42;92.0;8.16;100;96;3135.15
LOT00331;14/8/2024;PRD002;PRE05;T3;15/8/2024 02:48; 99,7 ;7.13;25;20;16015.0
LOT00332;19/11/2024;PRD023;PRE05;T1;19/11/2024 10:49;110.0;7.09;20;19;21933.11
LOT00333;26/5/2025; PRD021 ;PRE02;T2;26/5/2025 19:12;103.1;7.11;300;295;7181.26
LOT00334;17/1/2025;PRD001;PRE05;T1;17/1/2025 12:04;87.2;7.61;10;9;6304.63
lot00335;29/7/2024;PRD019;PRE03;T3;30/7/2024 02:51;71.3;6.51;100;98;6035.35
LOT00336;7/3/2025;PRD022;PRE02;T3;8/3/2025 03:06;104.2;7.29;300;288;6652.63
LOT00337;22/7/2024;PRD027;PRE05;T2;22/7/2024 17:08;94.2;7.5;25;24;40276.5
LOT00338;13/5/2025;PRD003;PRE01;T3;14/5/2025 01:22;80.2;7.95;400;396;1222.88
LOT00339;4/2/2025;PRD027;PRE03;T1;4/2/2025 11:25;73.6;7.53;120;114;14408.35
LOT00340;6/1/2025;PRD011;PRE01;T2;6/1/2025 19:24;108.5;8.06;200;197;390.05
LOT00341;23/11/2024; PRD003 ;PRE01;T3;24/11/2024 04:06;83.1;7.96;600;583;1890.96
LOT00342;12/4/2025;PRD023;PRE02;T2;12/4/2025 17:10;129.6;8.47;300;290;7159.34
LOT00343;16/6/2025; PRD022 ;PRE02;T1;16/6/2025 12:20;104.8;8.38;100;98;2170.51
LOT00344;15/7/2024;PRD025;PRE04;T3;16/7/2024 04:25;72.1;6.85;100;97;14477.92
LOT00345;11/10/2024;PRD025;PRE03;T1;11/10/2024 09:51;84.1;7.23;100;95;12212.75
LOT00346;17/7/2024;PRD024;PRE02;T1;17/7/2024 09:41;103.3;7.7;250;239;5492.62
LOT00347;25/3/2025;PRD021;PRE05;T1;25/3/2025 10:15;125.1;7.42;25;24;28479.93
LOT00348;26/2/2025;PRD019;PRE05;T2;26/2/2025 19:20;50.9;7.24;10;7;7964.06
LOT00349;9/7/2024;PRD007;PRE01;T3;10/7/2024 02:41;116.4;9.37;200;179;377.25
LOT00350;19/6/2025;PRD028;PRE04;T3;20/6/2025 04:13;78.9;7.63;120;117;19060.12
LOT00351;4/1/2025;PRD024;pre05;T1;4/1/2025 08:38;111.0;7.97;10;9;12656.58
LOT00352;12/12/2024;PRD021;PRE02;T3;13/12/2024 02:28;120.4;7.42;100;96;2246.41
LOT00353;10/6/2025;PRD018;PRE03;T2;10/6/2025 17:15;52.2;6.59;60;57;4125.21
LOT00354;30/1/2025;PRD016;PRE03;T3;31/1/2025 03:49;85.5;7.61;40;38;3175.81
LOT00355;6/3/2025;PRD021;PRE02;T3;7/3/2025 04:08;117.0; 8.35 ;200;191;4318.28
LOT00356;21/9/2024;PRD002;PRE01;t1;21/9/2024 09:24;92.6;8.04;300;287;921.08
LOT00357;24/12/2024;PRD012;PRE03;T3;25/12/2024 03:03; 88.5 ;6.74;80;76;6298.7
LOT00358;29/11/2024;PRD011;PRE02;T2;29/11/2024 18:32;106.0;9.09;250;241;1743.46
LOT00359;29/7/2024;PRD004;PRE02;T2;29/7/2024 20:56;83.3;8.4;200;191;2425.64
LOT00360;29/7/2024;PRD017;PRE02;T3;30/7/2024 03:12;67.9;6.64;250;242;3798.06
LOT00361;3/2/2025;PRD003;PRE02;T2;3/2/2025 17:11;82.2;7.45; 300 ;299;3624.58
LOT00362;17/4/2025;PRD014;PRE04;T1;17/4/2025 09:18;95.8;6.93;100;95;12356.9
LOT00363;24/5/2025;PRD015;PRE03;T2;24/05/2025 17:16;85.4;7.24;60;57;5496.37
LOT00364;1/3/2025;PRD012;PRE04;T2;1/3/2025 18:53;93.3;6.53;80;76;8460.6
LOT00365;30/12/2024;PRD006;PRE01;T3;31/12/2024 01:56;128.9;8.81;300;218;581.26
LOT00366;2/1/2025; PRD028 ;PRE05;T3;3/1/2025 04:05;94.7;6.52;30;28;47509.27
LOT00367;27/03/25;PRD007;PRE02;T3;28/3/2025 03:12;108.3;8.17;150;149;1129.35
LOT00368;15/7/2024;PRD029;PRE05;T1;15/7/2024 09:11;95.7;6.71;15;14;21194.28
LOT00369;17/7/2024;PRD004;PRE01;T1;17/7/2024 11:17;93.6;7.06;400;393;1397.71
LOT00370;20/11/2024;PRD029;PRE03;T1;20/11/2024 10.50;95.7;7.67;120;115;13689.64
LOT00371;20/8/2024;PRD007;PRE03;T3;21/8/2024 04:13;97.3;8.88;100;98;2764.39
LOT00372;24/3/2025;PRD017;PRE02;T1;24/3/2025 12:01;67.6;6.84;100;95;1585.6
LOT00373;5/2/2025;PRD022;PRE05;T3;6/2/2025 00:30;128.2;7.55;10;9;11979.96
LOT00374;22/8/2024;PRD003;PRE01;T3;23/8/2024 00:21;94.6;7.51;600;595;1956.81
LOT00375;30/12/2024;PRD025;PRE05;T3;31/12/2024 03:53;98.6;7.14;10;7;14991.82
LOT00376;13/6/2025;PRD002;PRE04;T1;13/6/2025 09:17;89.3;7.14;40;39;2811.17
LOT00377;3/4/2025;PRD016;PRE04;T2;3/4/2025 15:53;97.0;6.68;100;96;11313.1
LOT00378;16/1/2025;PRD028;PRE05;T2;16/1/2025 17:22;89.8;7.53;30;29;45560.3
LOT00379;15/7/2024;PRD019;PRE05;T2;15/7/2024 16:38;58.7;7.11;10;9;8610.26
LOT00380;30/4/2025;PRD014;PRE04;T1;30/4/2025 08:02;77.9; 6.75 ;120;115;13811.17
LOT00381;16/1/2025;PRD009;PRE01;T2;16/1/2025 20:39;106.2;8.15;300;290;570.32
LOT00382;8/8/2024;PRD012;PRE05;T3;9/8/2024 02:08;76.2;7.99;25; 24 ;29722.52
LOT00383;25/12/2024;PRD019;PRE02;T2;25/12/2024 18:16;70.1;6.65;300;289;4681.18
LOT00384;18/10/2024;PRD018;PRE02;T1;18/10/2024 10:46;70.2;7.28;250;249;4148.89
LOT00385;2/8/2024;PRD008;PRE02;T2;8/2/2024 19:13;106.5;8.97;200;196;1432.21
LOT00386;28/5/2025;PRD026;PRE05;T3;29/5/2025 01:03;62.3;7.97;20;16;28055.91
LOT00387;2/8/2024;PRD001;PRE01;T3;3/8/2024 03:06;86.0;8.26;300;288;1011.66
LOT00388;30/10/2024;PRD019;PRE05;T2;30/10/2024 18:11;90.3;8.13;15;11;11889.38
LOT00389;24/6/2025;PRD014;PRE03;T2;24/6/2025 18:26;85.6;7.52;80;79;7568.27
LOT00390;19/6/2025;PRD001;PRE03;T3;20/6/2025 02:09;85.8;7.96;80;79;4355.61
LOT00391;29/10/2024;PRD001;PRE05; T2 ;29/10/2024 17:37;93.7;7.95;25;24;16709.13
LOT00392;23/6/2025;PRD024;PRE02;T1;23/6/2025 12:03;110.6;7.9;300;296;6740.4
LOT00393;4/12/2024;PRD021;PRE02;T2;4/12/2024 20:39;103.3;7.37;150;148;3528.39
LOT00394;29/1/2025;PRD024;PRE01;T2;29/1/2025 17:38;126.3;8.42;600;576;3726.51
LOT00395;26/07/2024;PRD003;PRE05;T3;27/7/2024 03:50;77.2;6.27;30;16;21918.05
LOT00396;14/11/2024;PRD022;PRE02;T1;11-14-2024 12:17;101.4;8.0;200;169;4254.19
 LOT00397 ;28/5/2025;PRD009;PRE02;T2;28/5/2025 16:38;99.4;9.31;250;246;1970.64
LOT00398;7/5/2025;PRD004;PRE03;T1;7/5/2025 07:28; 87,6 ;7.57;100;98;4863.85
LOT00399;29/3/2025;PRD006;PRE03;T1;29/3/2025 09:23;92.3;8.07;60;58;1970.41
LOT00400;23/9/2024;PRD029;PRE05;T3;24/9/2024 04:00;86.7;7.88;25; 23 ;34864.66
LOT00401;14/4/2025;PRD023;PRE02;T1;14/4/2025 12:20;103.4;8.08;150;143;3125.47
LOT00402;3/7/2024;PRD017;PRE04;T3;4/7/2024 03:02;47.5;5.74;80;56;6963.68
LOT00403;28/6/2025;PRD004;PRE04;T1;28/6/2025 12:04;88.9;7.01;40;39;3052.5
LOT00404;29/7/2024;PRD026;PRE04;T3;30/7/2024 04:14;72.8;6.88;60;59;9657.93
LOT00405;7/2/2025;PRD025;PRE04;T2;7/2/2025 17:09;90.0;7.75;120;115;17803.59
LOT00406;17/8/2024;PRD003;PRE04;T2;17/8/2024 19:53;94.6;8.01;60;59;4222.91
LOT00407;16/6/2025;PRD003;PRE05;T1;16/6/2025 10:20;78.3;7.88;10;8;7014.91
LOT00408;4/6/2025;PRD027;PRE03;T3;5/6/2025 01:37;95.3;6.57;100;99;10794.71
LOT00409;6/5/2025;PRD020;PRE04;T1;6/5/2025 09:01;63.4;6.01;40;38;3464.7
LOT00410;12/5/2025;PRD024;PRE03;T3;13/5/2025 03:21;102.6;7.2;60;57;4877.16
LOT00411;2/4/2025;PRD021;PRE01;T3;3/4/2025 00:28;134.7;7.4;200;109;1060.75
LOT00412;17/1/2025;PRD028;PRE04;T2;17/1/2025 18:00;73.1;7.77;100;99;16045.85
LOT00413;10/5/2025;PRD010;PRE01;T3;11/5/2025 01:56;100.6;8.63;400;391;724.71
LOT00414;21/9/2024;PRD020;PRE05;T3;22/9/2024 01:48;58.6;6.35;15;14;13066.13
LOT00415;10/6/2025;PRD015;PRE03;T2;10/6/2025 19:51;90.5;6.92;40;39;3221.85
LOT00416;25/7/2024;prd014;PRE05;T1;25/7/2024 10:29;83.9;6.74;30;28;31763.11
LOT00417;12/4/2025;PRD008;PRE02;T1;12/4/2025 09:29;102.1;8.16;100;99;746.6
LOT00418;23/8/2024;PRD004;pre04;T3;24/8/2024 00:38;93.7;7.24;80;78;5893.4
LOT00419;29/1/2025;PRD012;PRE04;T1;29/1/2025 09:45;83.5;7.26;40;38;4839.71
LOT00420;28/1/2025;PRD025;PRE05;T1;28/1/2025 12:22;93.8;7.04;10;9;15810.46
LOT00421;19/7/2024;PRD011;PRE02;T1;19/7/2024 12:22;109.6;9.47;300;299;2231.4
LOT00422;9/5/2025;PRD024;PRE03;T2;9/5/2025 19:19;148.0;8.31;120;83;11226.54
LOT00423;3/9/2024;PRD007;PRE04;T3;4/9/2024 01:34;100.2;8.47;80;79;2982.42
LOT00424;31/7/2024;PRD008;PRE04;T3;1/8/2024 02:24;97.1;8.07;40;38;1623.18
LOT00425;23/11/2024;PRD024;PRE05;T3;24/11/2024 03:11;122.1;7.16;30;29;38324.47
LOT00426;1/3/2025;PRD027;PRE04;t2;1/3/2025 19:17;59.5;7.65;120;88;19339.25
LOT00427;4/9/2024;PRD023;PRE05;T1;4/9/2024 11:57;129.0;7.77;30;28;33931.03
LOT00428;19/4/2025;PRD012;PRE05;T1;19/4/2025 08:33;78.8;7.06;20;19;23134.69
LOT00429;8/3/2025;PRD002;PRE05; T1 ;8/3/2025 08:47;85.2;8.31;25;24;16833.96
 LOT00430 ;21/2/2025;PRD027;PRE05;T1;21/2/2025 11:53;96.0;6.99;30;29;44186.65
LOT00431;19/4/2025;PRD022;PRE04;T1;19/4/2025 12:34;119.3;7.13;120;117;15141.93
LOT00432;18/11/2024;PRD017;PRE04;T1;18/11/2024 09:58;47.9;6.3;120;85;10809.74
LOT00433;20/8/2024;PRD028;PRE04;T1;20/8/2024 10:00;75.5;7.65;60;57;8833.1
LOT00434;28/1/2025;PRD001;PRE03;T1;28/1/2025 10:16;94.1;8.35;40;38;2205.9
LOT00435;25/1/2025;PRD013;PRE05;T2;25/1/2025 19:18;85.2;6.85;10;9;12675.26
LOT00436;22/5/2025;PRD026;PRE03;T2;22/05/2025 17.00;86.2;6.75;60;58;6647.07
LOT00437;01/07/2024;PRD015;PRE05;T3;2/7/2024 03:33;106.2;6.95;20;17;21867.18
LOT00438;10/9/2024;PRD018;PRE03;T2;10/9/2024 19:34;65.3;7.44;80;79;5488.97
LOT00439;3/5/2025;prd009;PRE02;T1;3/5/2025 07:56;102.9;8.0;250;237;1704.62
LOT00440;2/4/2025;PRD016;PRE05;T3;03/04/2025 03.04;83.8;7.72;30;29;32553.22
LOT00441;11/7/2024;PRD015;PRE04;T1;11/7/2024 10:55;77.2;7.42;80;79;8762.45
LOT00442;23/5/2025;PRD016;PRE05;T1;23/5/2025 09:08;89.2;7.24;30;28;36462.15
LOT00443;25/10/2024;PRD019;PRE01;T2;25/10/2024 17:19;79.6;6.83;400;334;1718.29
LOT00444;14/6/2025;PRD021;PRE01;T2;14/6/2025 20:31;115.5;7.07;300;285;1853.09
LOT00445;19/6/2025; PRD011 ;PRE01;T3;20/6/2025 00:48;93.9;8.49;200;196;349.35
LOT00446;18/12/2024;PRD021;PRE05;T1;18/12/2024 08:30;122.9;7.94;30;28;39416.58
LOT00447;9/5/2025;PRD023;PRE01;T2;9/5/2025 16:34;120.3;7.84; 400 ;396;2235.17
LOT00448;5/2/2025;PRD026;PRE05;T2;5/2/2025 18:04;83.6;6.99; 15 ;14;20305.3
LOT00449;14/5/2025;PRD029;PRE04;T2;14/5/2025 17:45;74.1;6.57;60;57;8884.53
LOT00450;23/12/2024;PRD029;PRE04;T2;23/12/2024 18:48;85.5;7.49;60;57;9012.79
LOT00451;1/3/2025; PRD007 ;PRE05;t2;1/3/2025 19:05;102.3;8.63;15;14;6451.33
LOT00452;4/3/2025;PRD021;PRE02;T3;5/3/2025 03:05;112.0;8.24;100;96;2074.64
LOT00453;23/11/2024;PRD007;PRE03;T1;23/11/2024 09:33;104.4;8.51;120;115;3381.11
LOT00454;4/12/2024;PRD027;PRE05;T2;4/12/2024 18:20;104.3;8.35;30;26;48405.49
LOT00455;3/5/2025;PRD026;PRE03;T3;4/5/2025 02:02;92.9;7.38;120;115;12551.13
LOT00456;26/2/2025;PRD005;PRE04;T1;26/2/2025 09:07;85.8;8.32;120;116;8431.74
LOT00457;23/5/2025;PRD016;PRE05;T2;23/5/2025 17:10;97.4;7.18;15;14;16724.88
LOT00458;28/12/2024;prd012;PRE03;T1;28/12/2024 12:25;86.6;7.43;100;97;8582.56
LOT00459;12/8/2024;PRD001;PRE02;T3;13/8/2024 04:28;88.2;7.12;200;199;2433.48
LOT00460;18/11/2024; PRD007 ;PRE03;T3;19/11/2024 01:09;108.2;8.01;80;77;2326.38
LOT00461;25/10/2024;PRD025;PRE05;T1;25/10/2024 09:42;60.6;7.49;25;17;37210.51
LOT00462;12/4/2025;PRD025;PRE05;T2;12/4/2025 18:29;87.3;6.69;10;9;15476.54
LOT00463;17/4/2025;PRD025;PRE04;T2;17/4/2025 16:30;99.3;7.99;120;117;18370.81
 LOT00464 ;16/12/2024;PRD007;pre05;T2;16/12/2024 18:35;93.4;9.01;15;14;6226.83
LOT00465;18/2/2025;PRD013;PRE03;T3;19/2/2025 02:51;75.3;6.99;100;96;9551.9
LOT00466;6/6/2025;PRD013;PRE05;T1;6/6/2025 09:35;89.7;7.25;25;24;26143.17
LOT00467;16/8/2024;PRD026;PRE03;t2;16/8/2024 19:55;91.0;7.57;80;77;9582.17
LOT00468;18/4/2025;PRD020;PRE03;T3;19/4/2025 02:33;56.0;7.31;80;79;5078.04
LOT00469;09/08/24;PRD029;PRE03;T3;10/8/2024 03:48;82.3;6.75;60;58;6698.93
LOT00470;6/11/2024;PRD013;PRE04;T2;6/11/2024 16:39;91.8;7.2;100;95;11712.35
LOT00471;28/11/2024;PRD027;PRE03;T1;28/11/2024 12:08;75.1;7.51;40;39;4188.15
LOT00472;5/6/2025;PRD022;PRE03;T3;6/6/2025 02:48;113.3;7.9;40;39;3792.32
LOT00473;14/6/2025;PRD003;PRE01;T2;14/6/2025 17:08;92.0;8.25;300;295;906.53
LOT00474;31/8/2024;PRD021;PRE02;T2;31/08/2024 17:20;93.9;7.51;200;140;4275.42
LOT00475;3/5/2025;PRD020;PRE02;T2;3/5/2025 17:21;69.8;7.38;300;287;5200.06
LOT00476;18/6/2025;prd022;PRE05;T1;18/6/2025 11:50;110.1;7.91;30;29;36079.39
lot00477;5/2/2025;PRD001;PRE02;T2;5/2/2025 16:08;82.1;7.75;150;143;1867.17
LOT00478;24/3/2025;PRD015;PRE05;T2;24/3/2025 18:23;80.7;7.6;20;19;23382.41
LOT00479;12/2/2025;PRD022;PRE03;T3;13/2/2025 00:14;102.1;7.29;60;59;4995.61
LOT00480;23/9/2024;PRD007;PRE02;T3;24/9/2024 01:57;93.5;8.37;200;195;1653.44
LOT00481;9/5/2025;PRD012;PRE04;T2;9/5/2025 17:44;75.5;7.07;40;39;5031.18
LOT00482;7/5/2025;PRD009;PRE02;T2;7/5/2025 16:52;92.7;8.7;150;149;1021.55
LOT00483;28/4/2025;PRD013;PRE05;T2;28/4/2025 18:41;99.8;6.69; 30 ;28;36630.14
LOT00484;14/1/2025;PRD012;PRE04;T3;15/1/2025 02:16;86.9;7.88;80;78;9607.45
LOT00485;5/6/2025;PRD015;PRE05;T1;5/6/2025 07:38;94.3;7.47;25;24;29499.73
LOT00486;3/6/2025;PRD014;PRE03;T3;4/6/2025 05:14;93.3;7.63;40;38;3530.54
 LOT00487 ;1/7/2024;PRD007;PRE05;T1;1/7/2024 08:11;114.2;9.33;15;11;5623.68
LOT00488;2/10/2024;prd004;PRE02;T1;2/10/2024 10:03;86.6;8.37;100;99;1234.66
LOT00489;21/8/2024;PRD011;PRE01;T2;21/8/2024 15:58;105.0;8.01;600;593;1035.54
LOT00490;6/5/2025;PRD017;PRE05;T2;6/5/2025 19:10;67.0;6.51;20;19;18281.73
LOT00491;22/1/2025;PRD012;PRE05;T2;22/1/2025 15:45;107.0;8.15;15;9;17811.86
LOT00492;24/7/2024;PRD007;PRE01;T3;25/7/2024 03:41;102.1;8.6;600;593;1105.42
LOT00493;30/6/2025;PRD022;PRE04;T2;30/6/2025 20:23;101.0;7.75;40;38;4966.14
LOT00494;26/9/2024;PRD015;PRE05;T1;26/9/2024 08:31;99.8;6.54;20;19;24435.67
LOT00495;16/8/2024;PRD029;PRE05;t3;17/8/2024 01:38;89.3;7.07;25;24;39638.11
LOT00496;30/4/2025;PRD009;PRE01;T1;30/4/2025 08:47;92.5;8.47;500;489;855.32
LOT00497;29/4/2025;PRD014;PRE04;T3;30/4/2025 00:44;75.2;7.78;80;76;10102.0
LOT00498;18/6/2025;PRD020;PRE02;T2;18/6/2025 18:00;65.8;6.32;200;197;3096.91
LOT00499;17/1/2025;PRD007;PRE04;T1;17/1/2025 09:02;118.1;9.55;80;58;3130.28
LOT00500;24/4/2025;PRD007;PRE03;T1;24/4/2025 10:14;103.1;8.87;100;98;2874.65
LOT00501;14/9/2024;PRD024;PRE03;T3;15/9/2024 03:43;127.8;7.14;100;95;8194.45
LOT00502;20/1/2025;PRD005;PRE03;T1;20/1/2025 10:40;89.8;7.56;40;39;2253.26
LOT00503;18/3/2025;PRD012;PRE01;t1;18/3/2025 08:06;81.8;7.62;600;575;3295.55
LOT00504;11/7/2024;PRD004;PRE02;T2;11/7/2024 21:13;91.8;7.8;100;97;1345.42
LOT00505;3/7/2024;PRD025;PRE03;T3;4/7/2024 02:42;71.2;7.36;60;57;6421.63
LOT00506;2/6/2025;PRD010;PRE02;T2;2/6/2025 17:36;92.4;9.76;200;166;1495.34
LOT00507;23/7/2024;PRD012;PRE04;T3;23/7/2024 23:55;78.5;7.78;60;59;7102.18
LOT00508;21/1/2025;PRD020;PRE02;T2;21/1/2025 16:53;66.9;7.41;150;146;2176.87
LOT00509;17/9/2024;PRD007;PRE03;T3;18/9/2024 03:46;90.5;8.91;40;38;1207.55
LOT00510;24/10/2024;PRD003;PRE02;T1;24/10/2024 07:51;77.4;7.2;100;73;1223.38
